Sr_no,Time,Date,Location,Wind Speed,Wind Direction,Air Temperature,Canopy Temperature,Rainfall,Leaf Wetness,Humidity
1,0:00:15,Apr 01 2017,Manjari,0.35,339.07,29.41,31.33,0,0,53.49
2,0:30:11,Apr 01 2017,Manjari,0.19,338.73,29.15,31.37,0,0,54.16
3,1:00:15,Apr 01 2017,Manjari,1.33,360,28.95,31.25,0,0,55.28
4,1:30:12,Apr 01 2017,Manjari,0.54,332.94,28.55,30.82,0,0,56.58
5,2:00:15,Apr 01 2017,Manjari,0.99,0,28.16,30.46,0,0,57.36
6,2:30:11,Apr 01 2017,Manjari,0.96,0,27.94,30.29,0,0,56.51
7,3:00:14,Apr 01 2017,Manjari,0.56,0,27.81,30.29,0,0,56.65
8,3:30:11,Apr 01 2017,Manjari,0.15,0,27.75,30.28,0,0,56.17
9,4:00:15,Apr 01 2017,Manjari,0.18,0,27.84,30.28,0,0,52.72
10,4:30:14,Apr 01 2017,Manjari,0.32,0,27.65,29.8,0,0,52.33
11,5:00:13,Apr 01 2017,Manjari,0,0,27.37,29.28,0,0,52.23
12,5:30:11,Apr 01 2017,Manjari,0,0,26.9,28.81,0,0,51.18
13,6:00:15,Apr 01 2017,Manjari,0,0,26.7,28.14,0,0,49.87
14,6:30:11,Apr 01 2017,Manjari,0,0,26.17,26.98,0,0,50.23
15,7:00:15,Apr 01 2017,Manjari,0,0,25.64,26.33,0,0,52.49
16,7:30:11,Apr 01 2017,Manjari,0,0,25.4,27.76,0,0,56.27
17,8:00:15,Apr 01 2017,Manjari,0,0,26.5,30.68,0,0,56.49
18,8:30:10,Apr 01 2017,Manjari,2.08,345.13,28.12,32.81,0,0,48.96
19,9:00:13,Apr 01 2017,Manjari,0.14,345.13,29.15,33.9,0,0,42.95
20,9:30:11,Apr 01 2017,Manjari,2.33,335.5,30.48,35.49,0,0,39.13
21,10:00:15,Apr 01 2017,Manjari,1.63,324.58,30.93,35.56,0,0,37.87
22,10:30:11,Apr 01 2017,Manjari,2.11,21.39,31.65,36.39,0,0,34.91
23,11:00:14,Apr 01 2017,Manjari,3.69,23.72,32.57,37.78,0,0,33.34
24,11:30:10,Apr 01 2017,Manjari,2.11,51.3,34.14,39.35,0,0,30.49
25,12:00:13,Apr 01 2017,Manjari,4.17,97.42,35.2,40.1,0,0,27.1
26,12:30:10,Apr 01 2017,Manjari,4.95,85.66,36.13,41.13,0,0,24.38
27,13:00:14,Apr 01 2017,Manjari,0,0,36.53,0,0,0,0
28,13:30:22,Apr 01 2017,Manjari,1.22,140.45,37.07,41.64,0,0,22.35
29,14:00:15,Apr 01 2017,Manjari,0.84,248.42,37.22,41.61,0,0,21.76
30,14:30:11,Apr 01 2017,Manjari,1.66,43.78,37.84,42.6,0,0,21.21
31,15:00:15,Apr 01 2017,Manjari,4.6,18.62,38.33,42.6,0,0,20.02
32,15:30:10,Apr 01 2017,Manjari,11.73,29.74,37.87,42.09,0,0,20.93
33,16:00:15,Apr 01 2017,Manjari,15.62,78.14,37.77,41.93,0,0,21.91
34,16:30:11,Apr 01 2017,Manjari,15.49,41.42,36.95,41.58,0,0,22.81
35,17:00:11,Apr 01 2017,Manjari,17.18,51.94,36.01,40.13,0,0,23.42
36,17:30:14,Apr 01 2017,Manjari,15.12,14.55,35.48,38.71,0,0,24.85
37,18:00:13,Apr 01 2017,Manjari,13.05,188.9,34.64,37.28,0,0,25.53
38,18:30:11,Apr 01 2017,Manjari,8.73,84.07,33.96,36.43,0,0,30.22
39,19:00:11,Apr 01 2017,Manjari,6.18,323.87,32.98,35.46,0,0,35.44
40,19:30:10,Apr 01 2017,Manjari,6.6,0,32.25,34.7,0,0,38.14
41,20:00:15,Apr 01 2017,Manjari,3.63,355.89,31.57,34.06,0,0,39.96
42,20:30:11,Apr 01 2017,Manjari,4.73,336.19,31.08,33.47,0,0,41.62
43,21:00:15,Apr 01 2017,Manjari,2.74,355.89,30.59,32.99,0,0,42.42
44,21:30:10,Apr 01 2017,Manjari,1.86,346.83,30.09,32.5,0,0,42.95
45,22:00:11,Apr 01 2017,Manjari,0.37,354.56,29.51,31.75,0,0,43.74
46,22:30:15,Apr 01 2017,Manjari,0.66,332.24,29.06,31.36,0,0,44.31
47,23:00:22,Apr 01 2017,Manjari,0,338.84,28.7,30.92,0,0,44.8
48,23:30:13,Apr 01 2017,Manjari,0,355.45,28.33,30.54,0,0,44.9
49,0:00:11,Apr 02 2017,Manjari,0.5,339.76,28.17,30.43,0,0,43.25
50,0:30:15,Apr 02 2017,Manjari,1.58,338.15,28.09,30.32,0,0,41.35
51,1:00:11,Apr 02 2017,Manjari,0.1,0,27.64,29.49,0,0,41.27
52,1:30:15,Apr 02 2017,Manjari,0.23,20.21,27.55,29.75,0,0,40.68
53,2:00:11,Apr 02 2017,Manjari,0.17,315.22,27.15,29.01,0,0,40.93
54,2:30:14,Apr 02 2017,Manjari,0.14,339.3,26.64,28.5,0,0,41.07
55,3:00:11,Apr 02 2017,Manjari,0,0,26.12,27.57,0,0,39.68
56,3:30:14,Apr 02 2017,Manjari,0,0,25.51,26.84,0,0,40.02
57,4:00:15,Apr 02 2017,Manjari,0,0,25.02,26.12,0,0,39.76
58,4:30:14,Apr 02 2017,Manjari,0,0,23.76,24.03,0,0,46.1
59,5:00:13,Apr 02 2017,Manjari,0,0,22.04,22.85,0,0,51.1
60,5:30:13,Apr 02 2017,Manjari,0,0,21.22,22.85,0,0,54.91
61,6:00:10,Apr 02 2017,Manjari,0,0,21.32,23.04,0,0,55.58
62,6:30:17,Apr 02 2017,Manjari,0,0,20.52,22.38,0,0,57.5
63,7:00:11,Apr 02 2017,Manjari,0,0,20.51,22.87,0,0,57.94
64,7:30:11,Apr 02 2017,Manjari,0,0,20.77,24.74,0,0,59.77
65,8:00:15,Apr 02 2017,Manjari,0,0,23.07,28.4,0,0,51.62
